{'temp_3': b'25', 'Cond1': 'on30h', 'Cond2': 'on30h', 'temp_8': b'25', 'temp_1': b'25', 'temp_9': b'25', 'temp_2': b'24', 'temp_4': b'25', 'temp_6': b'24', 'temp_5': b'25', 'temp_7': b'24', 'temp_10': b'25', 'ttime': b'11.06.2019 18:05:02'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 23:11:32.282806', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16h', 'Cond2': 'on30m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 23:31:33.444426', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16h', 'Cond2': 'on30l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-11 23:51:34.669312', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16h', 'Cond2': 'on23m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 00:11:35.828204', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16h', 'Cond2': 'off', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 00:31:37.056886', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16h', 'Cond2': 'on30h', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 00:51:38.272132', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16h', 'Cond2': 'on16m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 01:11:39.496852', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on16h', 'Cond2': 'on23l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 01:31:41.726799', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30m', 'Cond2': 'on23h', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 01:51:42.951553', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30m', 'Cond2': 'on16l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 02:11:44.077216', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30m', 'Cond2': 'on16h', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 02:31:45.288369', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30m', 'Cond2': 'on30m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 02:51:46.465712', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30m', 'Cond2': 'on30l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 03:11:47.632752', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30m', 'Cond2': 'on23m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 03:31:48.860332', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30m', 'Cond2': 'off', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 03:51:50.086329', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30m', 'Cond2': 'on30h', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 04:11:51.206148', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30m', 'Cond2': 'on16m', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 04:31:52.367171', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30m', 'Cond2': 'on23l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 04:51:54.622492', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30l', 'Cond2': 'on23h', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_9': 'no conn with mysql', 'temp_6': 'no conn with mysql', 'ttime': '2019-06-12 05:11:55.826800', 'temp_5': 'no conn with mysql', 'temp_8': 'no conn with mysql', 'temp_10': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'Cond1': 'on30l', 'Cond2': 'on16l', 'temp_4': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
