{'temp_8': b'25', 'temp_1': b'25', 'ttime': b'12.06.2019 20:27:38', 'temp_10': b'25', 'temp_5': b'25', 'temp_3': b'24', 'temp_4': b'25', 'Cond1': 'on23l', 'temp_9': b'25', 'Cond2': 'on23l', 'temp_6': b'24', 'temp_2': b'24', 'temp_7': b'24'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 05:27:38.822871', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on30m', 'temp_9': 'no conn with mysql', 'Cond2': 'on30h', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 05:47:40.051726', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on30m', 'temp_9': 'no conn with mysql', 'Cond2': 'on23m', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 06:07:41.265706', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on30m', 'temp_9': 'no conn with mysql', 'Cond2': 'on16l', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 06:27:42.495099', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on30m', 'temp_9': 'no conn with mysql', 'Cond2': 'on30l', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 06:47:43.718396', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'on30m', 'temp_9': 'no conn with mysql', 'Cond2': 'on16m', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 07:07:46.004746', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'off', 'temp_9': 'no conn with mysql', 'Cond2': 'on23l', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 07:27:47.184662', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'off', 'temp_9': 'no conn with mysql', 'Cond2': 'on23h', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 07:47:48.374059', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'off', 'temp_9': 'no conn with mysql', 'Cond2': 'on16h', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 08:07:49.603837', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'off', 'temp_9': 'no conn with mysql', 'Cond2': 'on30m', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 08:27:50.836918', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'off', 'temp_9': 'no conn with mysql', 'Cond2': 'off', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 08:47:52.007413', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'off', 'temp_9': 'no conn with mysql', 'Cond2': 'on30h', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 09:07:53.239722', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'off', 'temp_9': 'no conn with mysql', 'Cond2': 'on23m', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 09:27:54.428845', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'off', 'temp_9': 'no conn with mysql', 'Cond2': 'on16l', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
{'temp_8': 'no conn with mysql', 'temp_1': 'no conn with mysql', 'ttime': '2019-06-13 09:47:55.659329', 'temp_10': 'no conn with mysql', 'temp_5': 'no conn with mysql', 'temp_3': 'no conn with mysql', 'temp_4': 'no conn with mysql', 'Cond1': 'off', 'temp_9': 'no conn with mysql', 'Cond2': 'on30l', 'temp_6': 'no conn with mysql', 'temp_2': 'no conn with mysql', 'temp_7': 'no conn with mysql'}
